wmo,cycle,lat,lon,bnw,bbp700_surface_mean3,delta_bbp
2903442,6,-40.541,-78.69999999999999,0.0042179976589977,0.0035963112798829,0.0006216863791148005
2903442,8,-40.549,-78.01400000000001,0.0151074733585119,0.0022363146611799,0.012871158697332
2903442,10,-40.275,-78.017,0.0035566168371587,0.003247648011893,0.0003089688252656997
2903442,12,-39.957,-78.54899999999998,0.0019638075027614,0.0009905541858946,0.0009732533168667998
2903442,15,-40.015,-79.33800000000002,0.0047231554053723,0.001080959647273,0.0036421957580992995
2903442,16,-40.122,-79.582,0.0021895237732678,0.001541962653088,0.0006475611201798002
2903451,41,-0.141,148.291,0.0013943429803475,0.0004788330309869,0.0009155099493606
2903451,56,0.082,149.86900000000003,0.0001633609936106,0.0004916562077899,-0.0003282952141793
2903451,57,0.419,148.914,0.0019369267392903,0.0003812787278244,0.0015556480114659
2903451,60,1.342,146.224,0.0008979454287327,0.0003946487753031,0.0005032966534296
2903451,75,0.909,141.28999999999996,0.0055310958996415,0.0005113606651624,0.0050197352344791
2903459,36,-9.778,-93.35000000000002,0.0033256886526942,0.0007046544924378,0.0026210341602564
2903459,38,-10.038,-93.54500000000002,0.0037613860331475,0.0007500029751099,0.0030113830580376
2903459,53,-9.652,-94.14100000000002,0.0033842492848634,0.0009121953238112,0.0024720539610521997
2903459,54,-9.806,-93.856,0.0013810478849336,0.0010613686948393,0.0003196791900942999
2903459,60,-9.674,-93.01799999999996,0.002256765961647,0.0010938257910311,0.0011629401706158998
2903459,64,-10.461,-91.92700000000002,0.0015886120963841,0.0009284256763445,0.0006601864200396
2903459,69,-10.066,-91.74,0.003773168195039,0.0008601178997196,0.0029130502953194
2903461,30,-2.993,-98.68099999999998,0.0013501159846782,0.0011104249861091,0.0002396909985690999
2903461,32,-3.137,-99.05200000000002,0.0034165962133556,0.0008337964148571,0.0025827997984985
2903461,37,-3.058,-100.29500000000002,0.0006046753842383,0.0007927812403067,-0.00018810585606840002
2903461,39,-3.08,-101.16500000000002,0.0020190139766782,0.0007271149661391,0.0012918990105391002
2903461,51,-2.734,-104.349,0.0012641767971217,0.0013145670915643,-5.039029444260006e-05
2903461,52,-2.353,-104.369,0.0026172501966357,0.0014490245375782,0.0011682256590575001
2903461,56,-2.401,-103.959,0.0020741363987326,0.0017427882024397,0.0003313481962929001
2903461,57,-2.532,-104.239,0.0046266638673841,0.0012593423016369,0.0033673215657472
2903461,58,-2.771,-104.281,0.0016727778129279,0.0009315992938354,0.0007411785190925
2903462,31,0.81,-97.64800000000002,0.0017628596397116,0.0011898078955709,0.0005730517441407
2903462,32,0.868,-98.29399999999998,0.0011257912265136,0.0011827757892509,-5.698456273729984e-05
2903462,36,0.375,-102.41199999999998,0.0011304739164188,0.0008663757471367,0.0002640981692820999
2903462,37,0.656,-103.303,0.0030511610675603,0.0011156319330135,0.0019355291345468
2903462,38,0.913,-104.103,0.000803769158665,0.001367826325198,-0.0005640571665329999
2903462,43,-0.443,-106.701,0.0026204534806311,0.0015166573769723,0.0011037961036588
2903462,54,1.336,-104.207,0.0033641178160905,0.0012184847146272,0.0021456331014633
2903462,55,1.875,-104.138,0.0018692216835916,0.0009105342129866,0.0009586874706049999
2903462,57,1.945,-102.959,0.0031709556933492,0.0010689993699391,0.0021019563234101002
2903462,58,1.536,-102.634,0.0029393963050097,0.0013029652958114,0.0016364310091983001
2903462,60,0.663,-102.25,0.0029697404243052,0.0009665994245248,0.0020031409997804
2903462,61,1.266,-102.356,0.0028774496167898,0.0010668633428091,0.0018105862739807
2903462,66,0.872,-102.08499999999998,0.0024571483954787,0.000587798441605,0.0018693499538736998
2903463,31,4.121,-97.753,0.0021555877756327,0.0007438637161006,0.0014117240595321
2903463,33,4.41,-97.05599999999998,0.0030655968002974,0.0005054775198611,0.0025601192804362996
2903463,37,3.505,-97.37900000000002,0.0008935550577007,0.0010414716089144,-0.0001479165512137
2903463,49,2.024,-102.168,0.0003470678057055,0.0006939526453303,-0.0003468848396248
2903463,53,2.841,-103.046,0.0024878131225705,0.0007898089825175,0.001698004140053
2903463,60,2.582,-102.43400000000004,0.0062010018154978,0.0008114349329844,0.005389566882513399
2903463,61,3.087,-102.365,0.0041393614374101,0.0009704536253896,0.0031689078120204998
2903463,62,2.843,-102.26100000000002,0.0015288211870938,0.0008167905034497,0.0007120306836441
2903463,65,3.147,-101.92399999999998,0.0018843351863324,0.0006845298921689,0.0011998052941635
2903463,66,3.345,-102.14999999999998,0.0012341439723968,0.0008464092194723,0.0003877347529245
2903464,48,3.074,82.007,0.0012452123919501,0.0004745244320171,0.0007706879599330001
2903464,53,3.614,80.89499999999998,0.0025371769443154,0.0006368708952019,0.0019003060491135002
2903464,61,3.496,83.35300000000001,0.0034237254876643,0.0004786773837016,0.0029450481039627
2903464,65,2.118,82.209,0.0010620185639709,0.0004150450210242,0.0006469735429467
2903465,36,-4.781,86.53800000000001,0.0026102135889232,0.0005406112759374,0.0020696023129858
2903465,62,-4.926,89.68799999999999,0.0014176900731399,0.0008108098409138,0.0006068802322261001
2903465,65,-5.087,91.08499999999998,0.0012409043265506,0.0007896195747889,0.0004512847517617
2903465,68,-5.615,93.918,0.0014649088261649,0.0006357234281798,0.0008291853979850999
2903465,69,-5.836,94.52800000000002,2.2407616597774904e-06,0.0005532544649516,-0.0005510137032918225
2903466,48,1.248,66.457,0.002377521013841,0.0009051463760746,0.0014723746377664
2903466,49,1.412,65.92700000000002,0.0018754042685031,0.0008904115917781,0.000984992676725
2903466,50,1.091,65.011,0.0012091527460142,0.0005902607614795,0.0006188919845347001
2903466,63,-1.157,74.559,0.0022945310920476,0.0004915624546507,0.0018029686373968999
2903468,29,-18.909,100.72800000000001,0.002734747948125,0.0005779686034657,0.0021567793446593
2903468,31,-19.374,100.86900000000003,0.0006254689651541,0.0005944576696492,3.1011295504900015e-05
2903468,33,-18.816,100.96100000000001,0.000681807519868,0.000531423681726,0.00015038383814199995
2903468,38,-18.206,98.678,0.005680582486093,0.0005251137772575,0.0051554687088355
2903468,39,-18.227,98.09800000000001,0.0006015247199684,0.0005328009137883,6.872380618010003e-05
2903468,40,-18.355,97.548,0.0015679313801229,0.000581024660884,0.0009869067192389
2903468,46,-18.704,96.73000000000002,0.000853138975799,0.000549535616301,0.000303603359498
2903468,48,-18.241,96.24200000000002,0.0040996158495545,0.0005114582794097,0.0035881575701447997
2903468,53,-18.181,95.97399999999999,0.0024101433809846,0.0005189603349814,0.0018911830460032002
2903468,57,-18.541,97.572,0.0010507286060601,0.0004895484889857,0.0005611801170744
2903468,60,-19.239,97.02699999999999,0.0005950984777882,0.0004761637149689,0.00011893476281930003
2903472,32,-41.079,34.997000000000014,0.000894628057722,0.0009806540523034,-8.602599458139998e-05
2903856,28,1.387,-168.199,0.0015249887946993,0.0006677257479168,0.0008572630467825
2903856,30,1.09,-170.164,0.0035465192049741,0.0007759039872325,0.0027706152177416
2903856,32,0.887,-172.214,0.002349164802581,0.0010811987255389,0.0012679660770420998
2903856,34,1.342,-174.341,0.0016751911025494,0.0007983039637717,0.0008768871387777001
2903856,40,1.277,-178.81,0.0009983248310163,0.0008012496206598,0.0001970752103564999
2903856,55,0.774,178.73900000000003,0.0009946513455361,0.0007087920093908,0.00028585933614530003
2903856,56,0.324,179.15800000000002,0.000770928163547,0.000706574472133,6.435369141400001e-05
2903858,39,-16.968,-79.67000000000002,0.0014247886138036,0.0012199784784267,0.00020481013537689994
