cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time,BING_Bnw,BING_Bnw_std,BING_Bnw_lsig,BING_Bnw_hsig,BING_beta,BING_aph,argo_bbp700
1902371,1902371QC.nc,5,51.96,-142.974,2024-05-11 07:29:00.000003584+00:00,-15.346293882918683,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.50184113337974,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.0013505
1902371,1902371QC.nc,6,51.963,-142.971,2024-05-11 08:28:00.000003584+00:00,-18.77455102751568,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.4160299562378,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.001345
1902371,1902371QC.nc,7,51.962,-142.973,2024-05-11 12:16:00.000003072+00:00,-11.025397970130353,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.5093684358202,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.0013419999999999999
1902371,1902371QC.nc,8,51.957,-142.978,2024-05-11 16:07:00.000001536+00:00,20.136778781557258,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,352.65292811857347,2024-05-10 20:36:38.500000+00:00,0.0041623744182288,0.0007366844802163,0.0001014810986816,9.736092761158945e-05,0.2516569197177887,0.0176248326897621,0.0012925
1902372,1902372QC.nc,13,0.35,93.043,2025-04-30 06:38:00.000005120+00:00,70.45272319446211,PACE_OCI_L2_AOP_PACE_OCI.20250429T072423.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250429T072423.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250429T072423.L2.OC_AOP.V3_1.nc,0.8140584915372303,2025-04-29 07:26:52.500000+00:00,0.0032609242480248,0.0009707626304589,8.325418457388878e-05,8.089723996818066e-05,0.1659271121025085,0.0110474852845072,0.0006755
1902372,1902372QC.nc,36,-0.275,94.747,2025-05-28 08:35:59.999995392+00:00,41.50991716388146,PACE_OCI_L2_AOP_PACE_OCI.20250529T065653.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250529T065653.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250529T065653.L2.OC_AOP.V3_1.nc,0.4464959271855663,2025-05-29 06:59:22.500000+00:00,0.0007905085221864,0.0001169422830571,4.957930650562048e-05,4.848709795624018e-05,1.7512671947479248,0.003848013235256,0.0006745
1902380,1902380QC.nc,81,17.269,-44.988,2024-04-06 17:23:00.000001536+00:00,54.0921495828314,"PACE_OCI_L2_AOP_PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc,0.3144337686447583,2024-04-07 16:02:34.500000+00:00,0.0014579353155568,0.0002295575541211,5.856575444340706e-05,6.010476499795914e-05,0.1326444447040558,0.0066647683270275,0.00046
1902380,1902380QC.nc,84,18.394,-44.495000000000005,2024-05-06 16:38:59.999997952+00:00,65.07758307264673,PACE_OCI_L2_AOP_PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc,25.08535935553161,2024-05-07 15:30:15.500000+00:00,0.0037111993879079,0.0005124172312207,8.014030754566193e-05,7.88634642958641e-05,0.0637122392654419,0.009230388328433,0.000493
1902380,1902380QC.nc,93,18.572,-42.78699999999998,2024-08-04 15:22:00.000001536+00:00,83.88315461199217,"PACE_OCI_L2_AOP_PACE_OCI.20240803T153515.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240805T150602.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240803T153515.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240803T153515.L2.OC_AOP.V3_1.nc,2.507783208678702,2024-08-03 15:37:44.500000+00:00,0.0024367314763367,0.0002588288625702,0.0001533939503133,0.0001564370468258,0.1165228337049484,0.0122766327112913,0.000543
1902380,1902380QC.nc,94,18.677,-42.743,2024-08-14 14:09:00.000001536+00:00,77.94171848160043,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,433.6951129134627,2024-08-13 14:49:46.500000+00:00,0.0003984914801549,0.0002421338867861,6.198309711180627e-05,6.775936344638467e-05,0.9666787981987,0.0023020091466605,0.0005200000000000001
1902380,1902380QC.nc,95,18.753,-42.779,2024-08-24 14:04:59.999995392+00:00,75.88972786005633,PACE_OCI_L2_AOP_PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc,1.054107535040372,2024-08-24 16:13:49+00:00,0.0004005219379905,0.0001916909968713,6.582387140952051e-05,7.039369666017592e-05,0.9548571109771729,0.0037290875334292,0.000465
1902380,1902380QC.nc,96,18.806,-42.685,2024-09-03 13:38:59.999997952+00:00,69.25333419261494,PACE_OCI_L2_AOP_PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc,46.40290514068571,2024-09-02 16:28:42.500000+00:00,0.0038781722541898,0.0005849432200193,0.0001193066127598,0.0001178451348096,0.0819539278745651,0.0101594235748052,0.000526
1902380,1902380QC.nc,98,18.774,-41.93799999999999,2024-09-23 13:41:00.000001024+00:00,65.99109916251179,"PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240923T152047.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.3819517478633276,2024-09-22 14:48:58+00:00,0.001703240792267,0.0001534801267553,6.290525197982788e-05,6.925314664840698e-05,1.4444977045059204,0.0060241897590458,0.00043349999999999997
1902380,1902380QC.nc,100,18.611,-41.692999999999984,2024-10-13 15:00:00+00:00,62.46095565991157,PACE_OCI_L2_AOP_PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc,0.0960655914549967,2024-10-13 15:24:57.500000+00:00,0.0006762543343938,0.0001265544560737,4.706525942310691e-05,5.039165262132883e-05,1.5333412885665894,0.0037750764749944,0.0004665
1902380,1902380QC.nc,112,18.11,-42.64499999999998,2025-02-11 07:55:59.999997440+00:00,-20.32327155004884,PACE_OCI_L2_AOP_PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc,1.516695900390595,2025-02-11 16:11:47.500000+00:00,0.0024007728789001,0.0002797464258037,0.0001033314038068,0.0001057514455169,0.098316766321659,0.0124585963785648,0.00044550000000000004
1902380,1902380QC.nc,114,17.827,-42.579999999999984,2025-03-03 13:26:00.000004096+00:00,55.961813815007964,PACE_OCI_L2_AOP_PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc,0.4341999980834881,2025-03-02 15:58:51.500000+00:00,0.0016179179074242,0.0001630685728741,6.163306534290314e-05,6.794359069317579e-05,0.0836310163140297,0.0087495669722557,0.000505
1902380,1902380QC.nc,116,18.235,-42.77600000000001,2025-03-23 16:01:59.999999488+00:00,66.82436048135574,PACE_OCI_L2_AOP_PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc,1.542884812756236,2025-03-22 16:15:30+00:00,0.002209983067587,0.0003370381018612,0.0001162840053439,0.0001128567382693,0.3403873145580292,0.0079365018755197,0.0005085000000000001
1902380,1902380QC.nc,117,18.466,-43.15899999999999,2025-04-02 18:31:59.999996416+00:00,35.76077933276543,PACE_OCI_L2_AOP_PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc,9.820967364531912,2025-04-02 16:11:54.500000+00:00,0.0011554795783013,0.0003042479220312,8.341495413333178e-05,8.333718869835138e-05,0.1882574558258056,0.0085627008229494,0.0004355
1902380,1902380QC.nc,118,18.66,-43.49400000000003,2025-04-12 20:21:59.999994880+00:00,10.600113345958258,PACE_OCI_L2_AOP_PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc,0.987791719011068,2025-04-13 16:07:58+00:00,0.0012867903569713,0.0004606253060046,7.018225733190775e-05,6.539595779031515e-05,0.4258889555931091,0.0048058009706437,0.0004565
1902380,1902380QC.nc,121,19.363,-43.94400000000002,2025-05-13 02:34:59.999998976+00:00,-51.986272034652615,PACE_OCI_L2_AOP_PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc,1000000000.0,2025-05-12 05:57:04+00:00,,,,,,,0.0004875
1902381,1902381QC.nc,81,16.511,-33.52999999999997,2024-04-06 02:15:59.999996416+00:00,-66.89785327948857,PACE_OCI_L2_AOP_PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc,4.819920053779724,2024-04-06 15:27:32+00:00,0.0019001071341335,0.0005539808771573,7.106596603989601e-05,7.671699859201908e-05,0.0500821024179458,0.0108212735503911,0.0005685
1902381,1902381QC.nc,94,17.077,-34.41699999999997,2024-08-14 01:38:59.999997952+00:00,-56.902567932505065,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,209.4396766772863,2024-08-13 14:49:46.500000+00:00,0.0010391325922682,0.0002278985193697,0.0001375853898935,0.0001443141372874,0.4600510895252228,0.0136514957994222,0.000613
1902381,1902381QC.nc,98,17.564,-34.41500000000002,2024-09-23 02:25:00.000004608+00:00,-72.26745587104367,"PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240923T152047.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.7451019612965069,2024-09-22 14:48:58+00:00,0.0012863898882642,0.0002361583319725,8.041528053581715e-05,8.165778126567602e-05,0.8969593048095703,0.0078392447903752,0.000668
1902382,1902382QC.nc,94,19.015,-30.154,2024-08-12 22:41:00.000001024+00:00,-29.48844580684457,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,69.36672671351506,2024-08-13 14:49:46.500000+00:00,0.0015536078717559,0.0009096045978367,0.0001687821932137,0.0001729008508846,0.3869317770004272,0.0195643864572048,0.000678
1902382,1902382QC.nc,98,19.109,-31.20299999999997,2024-09-21 22:47:59.999995904+00:00,-39.68853425544004,PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.5135412081364813,2024-09-22 14:48:58+00:00,0.0016643789131194,0.0002045316068688,5.903595592826605e-05,5.436677020043135e-05,0.2368972599506378,0.0065339673310518,0.000702
1902382,1902382QC.nc,113,19.997,-32.218999999999994,2025-02-19 13:55:59.999997440+00:00,58.2716235389318,PACE_OCI_L2_AOP_PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc,1.837318736293129,2025-02-19 14:22:53.500000+00:00,0.0025068188551813,0.0005416146595962,6.704614497721195e-05,6.512575782835484e-05,0.0541908852756023,0.0122077288106083,0.000593
