wmo,cycle,lat,lon,rel_delta
1902385,116,25.569,-58.250999999999976,0.8904928300443498
1902385,118,26.034,-58.137,0.6388163766265448
1902453,36,-2.189,72.368,0.4280232061339888
1902453,62,-3.52,74.47300000000001,0.19517707956852579
1902453,64,-3.521,73.84199999999998,0.16340495907577543
1902453,68,-3.207,74.70999999999998,0.28014793597853765
1902454,47,2.749,57.13300000000001,-0.336920064276165
1902454,50,2.03,57.172,0.24707647427208185
1902454,51,2.735,57.293000000000006,-1.055546536184334
1902454,52,3.975,57.994,0.6119933033171749
1902454,53,2.54,57.857,0.6453119115350819
1902454,55,1.973,55.760999999999996,0.5384380432372646
1902454,56,2.18,55.08600000000001,-0.4504946735538358
1902455,52,2.493,70.45600000000002,0.6650153352296355
1902455,65,2.212,74.423,0.8450996060766092
1902455,69,2.979,73.668,0.5046440308155115
1902456,33,-26.363,56.827,0.6316368661632006
1902456,36,-25.837,55.623999999999995,0.46748222637678777
1902456,38,-25.566,54.260999999999996,-2.5782546760043465
1902456,40,-25.305,52.85499999999999,0.7662732803486623
1902456,41,-25.465,51.77799999999999,-0.6716850049238925
1902456,42,-25.887,51.49799999999999,-0.6943620222414442
1902456,44,-26.265,51.170000000000016,0.24679391835734815
1902456,45,-26.185,51.170000000000016,0.78979659629734
1902456,47,-25.865,51.90100000000001,0.5704875679394015
1902456,51,-24.792,53.14099999999999,-0.02954669715598277
1902456,54,-23.716,54.905,0.5736135781750453
1902456,59,-23.861,56.105999999999995,0.8404959452771358
1902456,66,-25.254,55.74199999999999,0.2656173652963715
1902456,68,-25.424,55.857,-0.07010728366229561
1902457,31,5.941,66.221,0.09838518860824451
1902457,51,6.037,67.638,0.7183016758892671
1902457,52,6.219,67.63999999999999,0.6781026166841723
1902457,57,5.979,67.541,0.6539210325864888
1902457,65,5.296,67.81700000000001,0.695075467411963
1902457,66,5.547,67.95499999999998,0.48895606085705934
1902457,67,6.171,68.98000000000002,-0.006529074493704237
1902458,50,12.927,67.83699999999999,-0.10327393821502087
1902458,60,12.742,67.261,-0.9192407489714182
1902458,63,12.359,67.31700000000001,0.3237616712126304
1902458,64,12.396,67.261,-0.04998748668595682
1902458,65,12.414,67.24799999999999,-0.34607748564474744
1902458,66,12.242,67.311,-0.610185867399045
1902458,67,12.039,67.24799999999999,-0.7738124226135256
1902490,6,-29.092,1.0529999999999973,0.7483690630711487
1902490,8,-29.715,0.15799999999998704,0.7316982364400065
1902490,14,-30.794,-0.6890000000000214,0.8825067202061493
1902490,26,-31.218,-2.4110000000000014,0.35094932056470995
1902490,33,-32.133,-4.845000000000027,0.6682508206231034
1902492,31,-1.274,-2.901999999999987,-266.51192673363323
1902492,39,-0.263,-1.4159999999999968,-370.2748243121731
1902493,7,-31.342,-0.41500000000002046,-0.9745467385494992
1902493,8,-31.288,-0.6669999999999732,0.743949469138684
1902493,28,-31.335,-4.7309999999999945,0.055193781305521585
1902493,33,-29.728,-7.584000000000003,0.47075569991022653
1902493,36,-29.491,-8.586999999999989,0.6484733359190492
1902493,39,-29.392,-8.456999999999994,0.8432150496978147
1902495,15,-19.583,0.0020000000000095497,0.8498177470853857
1902495,21,-19.371,-0.535000000000025,0.8504118530096942
1902495,33,-19.209,-1.8940000000000055,0.8352910493851989
1902495,37,-17.228,-1.8410000000000082,0.6503788636151407
1902495,41,-19.072,-2.629000000000019,0.6040172518472728
1902496,11,-16.112,-2.704999999999984,0.8358640721333844
1902496,22,-15.91,-2.062999999999988,0.5479372048172223
1902496,34,-15.422,-1.7819999999999823,0.8096551040566767
