wmo,profile,lat,lon,bnw,bbp700_first3_mean,delta_bbp
2903461,32,-3.137,-99.05200000000002,0.0034165962133556,0.001067,0.0023495962133556004
2903461,37,-3.058,-100.29500000000002,0.0006046753842383,0.000727,-0.00012232461576170003
2903461,39,-3.08,-101.16500000000002,0.0020190139766782,0.0006833333333333,0.0013356806433449
2903461,51,-2.734,-104.349,0.0012641767971217,0.0011279999999999,0.0001361767971218
2903461,52,-2.353,-104.369,0.0026172501966357,0.0012126666666666,0.0014045835299691001
2903461,56,-2.401,-103.959,0.0020741363987326,0.000893,0.0011811363987326
2903461,57,-2.532,-104.239,0.0046266638673841,0.00107,0.0035566638673841
2903461,58,-2.771,-104.281,0.0016727778129279,0.0012166666666666,0.0004561111462612999
2903461,65,-3.577,-108.831,0.0034509361721575,0.0006133333333333,0.0028376028388242
2903462,31,0.81,-97.64800000000002,0.0017628596397116,0.0011826666666666,0.000580192973045
2903462,32,0.868,-98.29399999999998,0.0011257912265136,0.0014796666666666,-0.000353875440153
2903462,36,0.375,-102.41199999999998,0.0011304739164188,0.0011156666666666,1.4807249752199969e-05
2903462,37,0.656,-103.303,0.0030511610675603,0.0013676666666666,0.0016834944008937
2903462,38,0.913,-104.103,0.000803769158665,0.0008036666666666,1.024919984000082e-07
2903462,43,-0.443,-106.701,0.0026204534806311,0.001773,0.0008474534806311
2903462,54,1.336,-104.207,0.0033641178160905,0.0009106666666666,0.0024534511494239
2903462,55,1.875,-104.138,0.0018692216835916,0.0010303333333333,0.0008388883502582999
2903462,57,1.945,-102.959,0.0031709556933492,0.0013026666666666,0.0018682890266826001
2903462,58,1.536,-102.634,0.0029393963050097,0.000864,0.0020753963050097
2903462,60,0.663,-102.25,0.0029697404243052,0.001067,0.0019027404243052001
2903462,61,1.266,-102.356,0.0028774496167898,0.000972,0.0019054496167898
2903462,66,0.872,-102.08499999999998,0.0024571483954787,0.0006176666666666,0.0018394817288120999
2903463,31,4.121,-97.753,0.0021555877756327,0.0007183333333333,0.0014372544422994
2903463,33,4.41,-97.05599999999998,0.0030655968002974,0.0007653333333333,0.0023002634669640996
2903463,37,3.505,-97.37900000000002,0.0008935550577007,0.0007016666666666,0.00019188839103410004
2903463,49,2.024,-102.168,0.0003470678057055,0.0008103333333333,-0.0004632655276278
2903463,53,2.841,-103.046,0.0024878131225705,0.0007983333333333,0.0016894797892372
2903463,60,2.582,-102.43400000000004,0.0062010018154978,0.0009703333333333,0.0052306684821645
2903463,61,3.087,-102.365,0.0041393614374101,0.0008166666666666,0.0033226947707434996
2903463,62,2.843,-102.26100000000002,0.0015288211870938,0.000575,0.0009538211870938
2903463,65,3.147,-101.92399999999998,0.0018843351863324,0.0008466666666666,0.0010376685196658
2903463,66,3.345,-102.14999999999998,0.0012341439723968,0.0008313333333333,0.0004028106390635
2903464,48,3.074,82.007,0.0012452123919501,0.0007043333333333,0.0005408790586168001
2903464,53,3.614,80.89499999999998,0.0025371769443154,0.0005066666666666,0.0020305102776488
2903464,61,3.496,83.35300000000001,0.0034237254876643,0.0005263333333333,0.0028973921543309997
2903464,65,2.118,82.209,0.0010620185639709,0.0005096666666666,0.0005523518973043
