wmo,cycle,rrs700,wl_selected_nm,granule,dist_km,lat,lon,source_file
1902380,98,-0.00022500008344650269,699.0,ExpBricaud,4.390658684980803,18.766226768493652,-41.932363510131836,Argo_1902380_098_fits.npz
1902380,100,2.600066363811493e-05,699.0,ExpBricaud,1.5537408133546253,18.611421585083008,-41.694236755371094,Argo_1902380_100_fits.npz
1902380,112,9.500235319137573e-05,699.0,ExpBricaud,6.884365923008641,18.15898036956787,-42.67040252685547,Argo_1902380_112_fits.npz
1902380,114,0.00021400116384029388,699.0,ExpBricaud,1.7417538704599136,17.825881958007812,-42.583059310913086,Argo_1902380_114_fits.npz
1902380,116,7.800199091434479e-05,699.0,ExpBricaud,4.285365429854972,18.242969512939453,-42.78781700134277,Argo_1902380_116_fits.npz
1902380,117,6.899982690811157e-05,699.0,ExpBricaud,13.924095490689535,18.362112998962402,-43.16197204589844,Argo_1902380_117_fits.npz
1902380,118,0.00011200085282325745,699.0,ExpBricaud,1.667808468110525,18.66071319580078,-43.49321937561035,Argo_1902380_118_fits.npz
1902381,81,0.0001950003206729889,699.0,ExpBricaud,7.346128632084193,16.53143310546875,-33.47405815124512,Argo_1902381_081_fits.npz
1902381,94,8.800067007541656e-05,699.0,ExpBricaud,209.5441738263296,18.590694427490234,-33.24419593811035,Argo_1902381_094_fits.npz
1902381,98,-0.00010199844837188721,699.0,ExpBricaud,1.8874606765839879,17.563170433044434,-34.41318321228027,Argo_1902381_098_fits.npz
1902382,94,0.00023600086569786072,699.0,ExpBricaud,71.68753710098873,19.107962608337402,-29.480807304382324,Argo_1902382_094_fits.npz
1902382,98,0.00011100247502326965,699.0,ExpBricaud,1.3294939840251403,19.105566024780273,-31.20332622528076,Argo_1902382_098_fits.npz
1902382,111,0.00023999996483325958,699.0,ExpBricaud,33.42194322093776,19.916308403015137,-32.25301742553711,Argo_1902382_111_fits.npz
1902382,113,0.00016600079834461212,699.0,ExpBricaud,4.234736410741926,20.026217460632324,-32.22599220275879,Argo_1902382_113_fits.npz
1902382,114,0.0002909991890192032,699.0,ExpBricaud,7.019448311493874,19.850263595581055,-32.037025451660156,Argo_1902382_114_fits.npz
1902382,115,0.00013400055468082428,699.0,ExpBricaud,5.791677478430891,19.53062915802002,-31.96169948577881,Argo_1902382_115_fits.npz
1902384,81,2.2999942302703857e-05,699.0,ExpBricaud,2.504687995340306,20.736266136169434,-41.61268997192383,Argo_1902384_081_fits.npz
1902384,84,0.00030700117349624634,699.0,ExpBricaud,109.07340719590351,19.423645973205566,-40.46401405334473,Argo_1902384_084_fits.npz
1902384,91,-0.00014200061559677124,699.0,ExpBricaud,457.42031385495005,24.19587802886963,-42.92850303649902,Argo_1902384_091_fits.npz
1902384,92,8.600205183029175e-05,699.0,ExpBricaud,96.15979385956426,20.931554794311523,-42.7313346862793,Argo_1902384_092_fits.npz
1902384,93,-6.899796426296234e-05,699.0,ExpBricaud,56.81768716451289,19.78067398071289,-42.32107925415039,Argo_1902384_093_fits.npz
1902384,94,0.00013899989426136017,699.0,ExpBricaud,2.8343728108468764,19.905824661254883,-42.93093681335449,Argo_1902384_094_fits.npz
1902384,95,-2.1997839212417603e-05,699.0,ExpBricaud,25.918963134848497,19.640170097351074,-43.2934684753418,Argo_1902384_095_fits.npz
1902384,96,0.00013799965381622314,699.0,ExpBricaud,1.7472108376119015,19.38361644744873,-43.03724479675293,Argo_1902384_096_fits.npz
1902384,97,-0.0002909991890192032,699.0,ExpBricaud,36.541216591359486,18.944141387939453,-42.817195892333984,Argo_1902384_097_fits.npz
1902384,100,-6.899982690811157e-05,699.0,ExpBricaud,30.8592461842584,19.460988998413086,-41.665401458740234,Argo_1902384_100_fits.npz
1902384,112,0.0002550017088651657,699.0,ExpBricaud,2.406886521122604,19.3384370803833,-41.055519104003906,Argo_1902384_112_fits.npz
1902385,80,-3.0007213354110718e-06,699.0,ExpBricaud,2.648722411525611,24.99918842315674,-55.40828514099121,Argo_1902385_080_fits.npz
1902385,82,0.00011100247502326965,699.0,ExpBricaud,1.7372393916961002,25.582457542419434,-56.42030143737793,Argo_1902385_082_fits.npz
1902385,84,-0.0002369992434978485,699.0,ExpBricaud,143.35598326778035,25.5350341796875,-56.994140625,Argo_1902385_084_fits.npz
1902385,90,-1.7998740077018738e-05,699.0,ExpBricaud,7.990680673594969,25.568931579589844,-58.173763275146484,Argo_1902385_090_fits.npz
1902385,92,-4.199892282485962e-05,699.0,ExpBricaud,2.993947745465362,25.138233184814453,-58.94439506530762,Argo_1902385_092_fits.npz
1902385,93,2.2001564502716064e-05,699.0,ExpBricaud,2.240530270200561,24.86511516571045,-59.280433654785156,Argo_1902385_093_fits.npz
1902385,94,-4.5999884605407715e-05,699.0,ExpBricaud,2.9125931665809164,24.667943954467773,-59.528438568115234,Argo_1902385_094_fits.npz
1902385,95,0.00010500103235244751,699.0,ExpBricaud,1.6971317544676894,24.69312858581543,-59.66595458984375,Argo_1902385_095_fits.npz
1902385,97,9.200163185596466e-05,699.0,ExpBricaud,87.96334871397019,24.468073844909668,-59.810791015625,Argo_1902385_097_fits.npz
1902385,102,0.00014200061559677124,699.0,ExpBricaud,2.759541397522465,26.388327598571777,-60.8460578918457,Argo_1902385_102_fits.npz
1902385,111,5.200132727622986e-05,699.0,ExpBricaud,2.1392109114658657,25.623000144958496,-60.90648651123047,Argo_1902385_111_fits.npz
1902385,112,3.900006413459778e-05,699.0,ExpBricaud,1.8595172769152741,25.58408260345459,-60.61046600341797,Argo_1902385_112_fits.npz
1902385,113,-0.00017399899661540985,699.0,ExpBricaud,11.597007003755579,25.50644874572754,-60.21818161010742,Argo_1902385_113_fits.npz
1902385,116,0.00021800026297569275,699.0,ExpBricaud,6.373225196627241,25.56193447113037,-58.31157112121582,Argo_1902385_116_fits.npz
1902385,118,-0.00012400001287460327,699.0,ExpBricaud,140.49328707889612,25.77601718902588,-59.51547050476074,Argo_1902385_118_fits.npz
1902453,36,-4.199892282485962e-05,699.0,ExpBricaud,4.289119290827505,-2.200374722480774,72.34457397460938,Argo_1902453_036_fits.npz
1902453,62,-0.0002519991248846054,699.0,ExpBricaud,144.06303314717545,-4.057485103607178,73.29949569702148,Argo_1902453_062_fits.npz
1902453,64,-0.00011799857020378113,699.0,ExpBricaud,26.46059776930094,-3.290053606033325,73.83626174926758,Argo_1902453_064_fits.npz
1902453,68,-3.5997480154037476e-05,699.0,ExpBricaud,1.9608948582399994,-3.205999970436096,74.71502304077148,Argo_1902453_068_fits.npz
1902454,47,-0.00029299966990947723,699.0,ExpBricaud,3.120825466235846,2.7466167211532593,57.12420845031738,Argo_1902454_047_fits.npz
1902454,50,2.7000904083251953e-05,699.0,ExpBricaud,1.8405049172753034,2.027105450630188,57.17337608337402,Argo_1902454_050_fits.npz
1902454,51,-1.1999160051345825e-05,699.0,ExpBricaud,2.0228635455685002,2.736269950866699,57.29182052612305,Argo_1902454_051_fits.npz
1902454,52,4.200078547000885e-05,699.0,ExpBricaud,3.5476895997466595,3.982621431350708,57.97578239440918,Argo_1902454_052_fits.npz
1902454,53,-0.00015399977564811707,699.0,ExpBricaud,3.5825676353449127,2.553082823753357,57.87495803833008,Argo_1902454_053_fits.npz
1902454,55,-0.0002469997853040695,699.0,ExpBricaud,2.9896662616144463,1.9895606637001038,55.748918533325195,Argo_1902454_055_fits.npz
1902454,56,0.00011000223457813263,699.0,ExpBricaud,1.9632862794779071,2.177461624145508,55.081071853637695,Argo_1902454_056_fits.npz
1902455,52,-1.9999220967292786e-05,699.0,ExpBricaud,2.139116966443142,2.488895297050476,70.45750427246094,Argo_1902455_052_fits.npz
1902455,65,-0.00021499954164028168,699.0,ExpBricaud,13.1315393898701,2.2316735982894897,74.48714828491211,Argo_1902455_065_fits.npz
