idx,bbp,bbp_sig,beta,beta_sig,aph,aph_sig,adg,adg_sig,Sdg,Sdg_sig,true_bbp,true_aph,true_adg
292,0.0006289276287492092,5.630301327066116e-05,0.6252354383468628,0.5913749113678932,0.005099609668077576,0.000823135698654916,0.01048804672396975,0.0008791727902489523,0.010739633813500404,0.0009484603069722652,0.000574910023715347,0.006314000114798546,0.006266999989748001
293,0.0005072049764849239,6.245888522627086e-05,0.8625777959823608,0.6966392546892166,0.001771835251531356,0.001485983708949366,0.025277176304289384,0.0019113706174073656,0.01077248528599739,0.0009278864599764347,0.0002786499971989542,0.007559000048786402,0.014495999552309513
294,0.0008034700490923605,6.587685080948355e-05,0.8544467091560364,0.6829371526837349,0.0007977409867869648,0.0010600672867924817,0.019820772242140173,0.0014400802188145375,0.010663662105798721,0.0008237916044890881,0.000754109991248697,0.005903000012040138,0.012942999601364136
295,0.0007692253041019147,7.236412216873417e-05,1.3955646753311157,0.6158511936664581,0.002509739461116851,0.001539476581609044,0.03681513939472721,0.003067543551209296,0.010945126414299011,0.000961583573371172,0.0006895100232213736,0.00698000006377697,0.02826100029051304
296,0.0011575219972954581,7.710217322264511e-05,1.035013198852539,0.6565797179937363,0.0022774060584791083,0.0014107919017942124,0.025896049622610356,0.0022954931281262466,0.011098060756921768,0.0011699078604578972,0.0011722099734470248,0.00661499984562397,0.018410000950098038
297,0.0012977360209357755,8.951842746605118e-05,1.4057888984680176,0.5579718351364136,3.215986412335771e-05,0.00020481295828743914,0.08098544499702044,0.007056501081131636,0.014335617423057556,0.001199367456138134,0.0012502099853008986,0.00673400005325675,0.06954199820756912
298,0.0009653625074710747,9.943200051706685e-05,0.7578257322311401,0.6640608459711075,8.806817029700614e-05,0.000566821738891825,0.08039000045780871,0.007271446456666171,0.012793788686394691,0.0014444882981479168,0.0007888100226409733,0.014659999869763851,0.059248000383377075
299,0.0004969892537495012,5.582159170012719e-05,0.866584062576294,0.6963944956660271,0.003445264933350125,0.0009534746300310871,0.01686249818785179,0.0012795571383827972,0.010601242072880268,0.0007458836771547794,0.00045401000534184277,0.005752999801188707,0.01319000031799078
300,0.0006369145959180824,5.7046597091474024e-05,0.9129265546798706,0.6802306622266769,0.004279358302610515,0.0008721789850769622,0.014761830682697957,0.0011956375043538307,0.010442283004522324,0.0005567511543631554,0.0005785099929198623,0.006314000114798546,0.010351000353693962
301,0.0010906122561423581,6.077380460721676e-05,1.696860671043396,0.3449563980102539,0.002485347800755623,0.0010382152652890447,0.021986509663076786,0.0015626231880909273,0.01083289086818695,0.0009150435216724873,0.0010328099597245455,0.00661499984562397,0.012992000207304955
302,0.0011007046451083848,6.794431145730733e-05,1.2487314939498901,0.640779048204422,0.0028860764864683803,0.0011463260436489382,0.029668829327840738,0.0027524314135822427,0.010361100547015667,0.0004524076357483864,0.0010387100046500564,0.006314000114798546,0.022185001522302628
