wmo,profile,file,bbp700_top20m_median,n_values_used
2903467,57,2903467QC.nc,0.000504,10
2903467,52,2903467QC.nc,0.000658,10
2903467,60,2903467QC.nc,0.000812,9
2903467,46,2903467QC.nc,0.0005735,10
2903468,39,2903468QC.nc,0.0005165,10
2903468,67,2903468QC.nc,0.00056,10
2903468,48,2903468QC.nc,0.0005695,10
2903468,57,2903468QC.nc,0.0004525,10
2903468,29,2903468QC.nc,0.000552,10
2903468,38,2903468QC.nc,0.000577,10
2903468,65,2903468QC.nc,0.000564,10
2903468,33,2903468QC.nc,0.000504,10
2903468,46,2903468QC.nc,0.0005135000000000001,10
2903468,60,2903468QC.nc,0.00044399999999999995,10
2903468,68,2903468QC.nc,0.0004785,10
2903468,31,2903468QC.nc,0.00053,10
2903468,40,2903468QC.nc,0.000529,10
2903468,26,2903468QC.nc,0.000601,9
2903468,53,2903468QC.nc,0.0004994999999999999,10
2903472,32,2903472_HRQC.nc,0.00111,4
2903829,7,2903829QC.nc,0.0006265,10
2903831,9,2903831QC.nc,0.000448,10
2903832,40,2903832QC.nc,0.0004045,10
2903832,26,2903832QC.nc,0.00038199999999999996,10
2903832,7,2903832QC.nc,0.00042699999999999997,10
2903832,16,2903832QC.nc,0.0004325,10
2903832,25,2903832QC.nc,0.00040249999999999997,10
2903832,2,2903832QC.nc,0.0004175,10
2903832,11,2903832QC.nc,0.00043,10
2903832,6,2903832QC.nc,0.000429,10
2903832,1,2903832QC.nc,0.000429,10
2903832,10,2903832QC.nc,0.0004665,10
2903832,5,2903832QC.nc,0.000423,10
2903832,0,2903832QC.nc,0.000424,10
2903832,28,2903832QC.nc,0.000358,10
2903832,14,2903832QC.nc,0.0004145,10
2903832,32,2903832QC.nc,0.0003145,10
2903832,9,2903832QC.nc,0.000453,10
2903832,27,2903832QC.nc,0.000393,10
2903832,4,2903832QC.nc,0.000433,10
2903832,13,2903832QC.nc,0.000438,10
2903832,8,2903832QC.nc,0.000433,10
2903832,17,2903832QC.nc,0.00041799999999999997,10
2903832,3,2903832QC.nc,0.000406,10
2903832,12,2903832QC.nc,0.00044300000000000003,10
2903833,22,2903833QC.nc,0.00032450000000000003,10
2903833,17,2903833QC.nc,0.000285,10
