file,wavelength_nm,Rrs,aph,bb,bbnw,bbph,bbd
Hydrolight100.nc,670.0,8.593300299253315e-05,0.0009740000241436064,0.0007639299728907645,0.00038792999112047255,0.00020417000632733107,0.0001837599993450567
Hydrolight100.nc,675.0,8.226500358432531e-05,0.0010219999821856618,0.0007475399761460721,0.0003829500055871904,0.00020167999900877476,0.00018128000374417752
Hydrolight100.nc,680.0,7.763400208204985e-05,0.0008950000046752393,0.0007334499969147146,0.0003798500110860914,0.0002009799936786294,0.00017887000285554677
Hydrolight100.nc,685.0,7.294800161616877e-05,0.0005929999751970172,0.0007215900113806129,0.0003785699955187738,0.0002020599931711331,0.0001765100023476407
Hydrolight100.nc,690.0,6.746500002918765e-05,0.00032699998700991273,0.0007098300266079605,0.00037699000677093863,0.00020280000171624124,0.0001741900050546974
Hydrolight100.nc,695.0,6.108300294727087e-05,0.00016900000628083944,0.0006974500138312578,0.00037441999302245677,0.00020249999943189323,0.00017191999359056354
Hydrolight100.nc,700.0,5.361600051401183e-05,0.00011000000085914508,0.0006845099851489067,0.00037093000719323754,0.00020123999274801463,0.00016968999989330769
Hydrolight100.nc,705.0,4.656300006899983e-05,7.000000186963007e-05,0.0006717999931424856,0.00036731999716721475,0.00019982000230811536,0.0001675100065767765
Hydrolight100.nc,710.0,3.8836999010527506e-05,4.8000001697801054e-05,0.0006593100260943174,0.0003636099863797426,0.00019824999617412686,0.00016537000192329288
Hydrolight100.nc,715.0,3.125399962300435e-05,3.600000127335079e-05,0.0006471200031228364,0.00035988999297842383,0.00019660999532788992,0.00016327999765053391
Hydrolight100.nc,720.0,2.5049999749171548e-05,4.8000001697801054e-05,0.0006350500043481588,0.0003559800097718835,0.00019474999862723053,0.00016122999659273773
Hydrolight100.nc,725.0,2.030200084846001e-05,3.600000127335079e-05,0.0006235800101421773,0.0003523800114635378,0.00019316999532748014,0.00015921000158414245
Hydrolight100.nc,730.0,1.5046999578771647e-05,1.4999999621068127e-05,0.0006125199724920094,0.000348920002579689,0.0001916899927891791,0.0001572299952385947
Hydrolight100.nc,735.0,1.1582000297494233e-05,4.999999873689376e-06,0.0006016899715177715,0.00034542998764663935,0.0001901399955386296,0.00015529000665992498
Hydrolight100.nc,740.0,1.0255999768560287e-05,0.0,0.000591119984164834,0.0003419400018174201,0.00018856000679079443,0.0001533799950266257
Hydrolight100.nc,745.0,9.882400263450108e-06,0.0,0.000580810010433197,0.0003384700103197247,0.00018694999744184315,0.0001515199983259663
Hydrolight100.nc,750.0,9.627199688111432e-06,3.000000106112566e-06,0.0005707599921151996,0.00033502999576739967,0.0001853400026448071,0.00014968999312259257
Hydrolight100_profile.nc,350.0,0.010835000313818455,,,,,
Hydrolight100_profile.nc,355.0,0.010839000344276428,,,,,
Hydrolight100_profile.nc,360.0,0.010836999863386154,,,,,
Hydrolight100_profile.nc,365.0,0.010683000087738037,,,,,
Hydrolight100_profile.nc,370.0,0.010746000334620476,,,,,
Hydrolight100_profile.nc,375.0,0.010800999589264393,,,,,
Hydrolight100_profile.nc,380.0,0.010750999674201012,,,,,
Hydrolight100_profile.nc,385.0,0.010737000033259392,,,,,
Hydrolight100_profile.nc,390.0,0.010727999731898308,,,,,
Hydrolight100_profile.nc,395.0,0.010661999695003033,,,,,
Hydrolight100_profile.nc,400.0,0.010583000257611275,,,,,
Hydrolight100_profile.nc,405.0,0.01044199988245964,,,,,
Hydrolight100_profile.nc,410.0,0.01028599962592125,,,,,
Hydrolight100_profile.nc,415.0,0.010130999609827995,,,,,
Hydrolight100_profile.nc,420.0,0.010010000318288803,,,,,
Hydrolight100_profile.nc,425.0,0.009743999689817429,,,,,
Hydrolight100_profile.nc,430.0,0.009484799578785896,,,,,
Hydrolight100_profile.nc,435.0,0.009147300384938717,,,,,
Hydrolight100_profile.nc,440.0,0.008533299900591373,,,,,
Hydrolight100_profile.nc,445.0,0.00794379971921444,,,,,
Hydrolight100_profile.nc,450.0,0.007196499966084957,,,,,
Hydrolight100_profile.nc,455.0,0.006953999865800142,,,,,
Hydrolight100_profile.nc,460.0,0.0067922999151051044,,,,,
Hydrolight100_profile.nc,465.0,0.006589100230485201,,,,,
Hydrolight100_profile.nc,470.0,0.0063367001712322235,,,,,
Hydrolight100_profile.nc,475.0,0.0059922002255916595,,,,,
Hydrolight100_profile.nc,480.0,0.005522099789232016,,,,,
Hydrolight100_profile.nc,485.0,0.005200500134378672,,,,,
Hydrolight100_profile.nc,490.0,0.004799699876457453,,,,,
Hydrolight100_profile.nc,495.0,0.004282800015062094,,,,,
Hydrolight100_profile.nc,500.0,0.0037303001154214144,,,,,
Hydrolight100_profile.nc,505.0,0.0030602000188082457,,,,,
Hydrolight100_profile.nc,510.0,0.002452499931678176,,,,,
Hydrolight100_profile.nc,515.0,0.002013599965721369,,,,,
Hydrolight100_profile.nc,520.0,0.0019069999689236283,,,,,
Hydrolight100_profile.nc,525.0,0.0018254000460729003,,,,,
Hydrolight100_profile.nc,530.0,0.001714700018055737,,,,,
Hydrolight100_profile.nc,535.0,0.0016086000250652432,,,,,
Hydrolight100_profile.nc,540.0,0.0014984000008553267,,,,,
Hydrolight100_profile.nc,545.0,0.001359799993224442,,,,,
Hydrolight100_profile.nc,550.0,0.0012035999679937959,,,,,
Hydrolight100_profile.nc,555.0,0.0011132999788969755,,,,,
Hydrolight100_profile.nc,560.0,0.0010447000386193395,,,,,
Hydrolight100_profile.nc,565.0,0.0009815499652177095,,,,,
Hydrolight100_profile.nc,570.0,0.0008849099976941943,,,,,
Hydrolight100_profile.nc,575.0,0.0007776999846100807,,,,,
Hydrolight100_profile.nc,580.0,0.0006548099918290973,,,,,
Hydrolight100_profile.nc,585.0,0.0005215100245550275,,,,,
Hydrolight100_profile.nc,590.0,0.00041475999751128256,,,,,
Hydrolight100_profile.nc,595.0,0.0003272900066804141,,,,,
Hydrolight100_profile.nc,600.0,0.00024034999660216272,,,,,
Hydrolight100_profile.nc,605.0,0.00020225999469403177,,,,,
Hydrolight100_profile.nc,610.0,0.00019207000150345266,,,,,
Hydrolight100_profile.nc,615.0,0.00018473999807611108,,,,,
Hydrolight100_profile.nc,620.0,0.00017504999414086342,,,,,
Hydrolight100_profile.nc,625.0,0.00016595999477431178,,,,,
Hydrolight100_profile.nc,630.0,0.00015730000450275838,,,,,
Hydrolight100_profile.nc,635.0,0.00014857000496704131,,,,,
Hydrolight100_profile.nc,640.0,0.0001405200018780306,,,,,
Hydrolight100_profile.nc,645.0,0.00013117000344209373,,,,,
