idx,bbp,bbp_sig,beta,beta_sig,aph,aph_sig,adg,adg_sig,Sdg,Sdg_sig,true_bbp,true_aph,true_adg
853,0.0007924120180724735,5.915299662061663e-05,1.5281089544296265,0.48104873299598694,0.009893965417387868,0.0019446570200790866,0.01328929726226035,0.001808264731895568,0.015224212780594826,0.003450501710176468,0.0007516099722124636,0.010184000246226788,0.010941999964416027
854,0.0005081815864781327,4.597894067219678e-05,1.5894149541854858,0.45361799001693726,0.0035004154857488676,0.0009463081340889148,0.007305145397150166,0.0007346730203989637,0.015245707705616951,0.003374820575118065,0.0004832099948544055,0.004000999964773655,0.005509999580681324
855,0.0009196237363128602,6.906375740208448e-05,0.9103472232818604,0.6224339008331299,0.002864192234516736,0.0021284371859088278,0.01567170620847995,0.0018964586979139933,0.013411689549684525,0.0035517546348273754,0.0009346100268885493,0.0050119999796152115,0.012775000184774399
856,0.0007174585475069455,5.238702357557995e-05,1.5594596862792969,0.4526560306549072,0.0030306608728003564,0.0010141494510814975,0.007567854414264466,0.0007902881593236139,0.014294934459030628,0.0035361084155738354,0.0008089100010693073,0.0052720000967383385,0.004106000065803528
857,0.00036454838648420203,5.557425041914535e-05,1.0107800960540771,0.7076846361160278,0.0022339988580262642,0.002604232640505615,0.0186428618309558,0.002239330239142575,0.011816201731562614,0.002925488632172346,0.00033318999339826405,0.005628999788314104,0.015553000383079052
858,0.001036099828439983,6.87966422699604e-05,0.7243674397468567,0.5929556116461754,0.009176740397572413,0.0019316285724567768,0.012665171206379753,0.0018475422111863121,0.013323449529707432,0.0034044329077005386,0.0009630100103095174,0.006996000185608864,0.01425699982792139
859,0.0009177143433492568,5.84402385799268e-05,1.656341314315796,0.3717486262321472,0.006335107631397756,0.0017592679331438197,0.018752137769944995,0.0018426062012793353,0.01685195043683052,0.002696304116398096,0.0009633100125938654,0.007946000434458256,0.015918999910354614
860,0.0007190610209981162,6.720813327158829e-05,0.6814809441566467,0.6239602789282799,0.0008102457864531194,0.002296533749842145,0.023753534950456942,0.0026314542058177535,0.011285110376775265,0.0022049015387892723,0.0007304099854081869,0.004153000190854073,0.023347999900579453
861,0.0003975032440030457,5.296589463631187e-05,1.2417887449264526,0.6638018786907196,0.001971706386691061,0.0023396566679786336,0.01682088315301643,0.001959065666510938,0.011815174482762814,0.002917659003287554,0.00033964001340791583,0.005861999932676554,0.01230200007557869
862,0.000581145778756918,6.314906300955843e-05,1.2366433143615723,0.6562814265489578,0.005536476263489806,0.0033885164763792215,0.023147748123785106,0.0031393881254468767,0.015502221882343292,0.003488107118755579,0.0004564099945127964,0.006982999853789806,0.018180999904870987
863,0.000656615736614016,6.169376471667847e-05,0.8285232782363892,0.6619246900081635,0.0056026505529910425,0.0020538291478874255,0.015115354092586302,0.0018858017347035587,0.014368554577231407,0.0034981942735612392,0.0007342100143432617,0.00761700002476573,0.012551000341773033
864,0.003411854133998338,0.00016308143970046227,1.5157275199890137,0.44452714920043945,0.08150472026312577,0.0231962859314601,0.2109540824478186,0.056854225256389626,0.01795721985399723,0.0016751214861869812,0.004018010105937719,0.07324600219726562,0.14736399054527283
865,0.0007623559646980538,6.645612973623131e-05,1.109009861946106,0.6636413335800171,0.0029239907865460137,0.0032487709768909967,0.02222286099145655,0.0031803257839636747,0.011984312906861305,0.0031743785366415977,0.000677209987770766,0.008511999621987343,0.015444999560713768
866,0.0011181794464804706,7.82947783012157e-05,0.6827163100242615,0.5947044640779495,0.009255078768669977,0.004250065891743617,0.0294505683481126,0.005110266014549187,0.014470100402832031,0.003457347396761179,0.0013345100451260805,0.010805999860167503,0.029698001220822334
867,0.00029786683446440424,6.022755754458993e-05,1.0008950233459473,0.7163037210702896,0.014734929896009052,0.0036037756861723013,0.019185707517321668,0.0037671607880426367,0.01499249879270792,0.0035096174106001854,0.0003129699907731265,0.013193000108003616,0.018895000219345093
868,0.0002283669648149242,4.225339748119758e-05,1.1510916948318481,0.700930655002594,0.0015086363777630433,0.001322102274553485,0.008138536260745451,0.0008639243939009542,0.013131708838045597,0.0035124756395816803,0.00018420000560581684,0.001979999942705035,0.007540999911725521
869,0.0005413695253688678,4.6722563851394575e-05,1.5677634477615356,0.4541469216346741,0.0023905749750732018,0.0006193520050316007,0.00411950955289322,0.0004444600627454781,0.013770179823040962,0.003463241271674633,0.0005591100198216736,0.002346999943256378,0.003047000151127577
870,0.0005755944227246477,5.816358226002206e-05,0.9312561750411987,0.6674073189496994,0.004159779319909973,0.0014389377760055965,0.01145609201718611,0.0012286000810186846,0.015484222210943699,0.0036382339894771576,0.000655309995636344,0.004025000147521496,0.010734000243246555
871,0.0002740206178825275,4.975632681761238e-05,1.259057641029358,0.6852268874645233,0.003397471518465115,0.002773388100115836,0.016697592799914986,0.0022410287006414216,0.013971012085676193,0.003527260385453701,0.00024592000409029424,0.005828999914228916,0.014737000688910484
872,0.0008865473398280925,7.336146897882466e-05,0.9976889491081238,0.6753178983926773,0.0005305632530746247,0.00274744733448582,0.0315938156268884,0.003886565585863415,0.011338924057781696,0.0021705557592213154,0.000802310009021312,0.008012999780476093,0.022617999464273453
873,0.0007616113674723849,7.148836997161777e-05,0.9907838106155396,0.6794158965349197,0.006433931726104959,0.0038803217718683175,0.025784436295876564,0.003968004439736694,0.013571597635746002,0.003606352023780346,0.0007866100058890879,0.00901500042527914,0.023686999455094337
874,0.002218767390861891,0.0001294837401214304,0.7044068574905396,0.584469623863697,0.00014684789754229388,0.002244448704382151,0.14522503349324498,0.019501486804171894,0.01405470259487629,0.0013975691981613636,0.002462209900841117,0.029888000339269638,0.09483899921178818
875,0.0016962981993739797,9.678598292029187e-05,1.1538515090942383,0.5925820469856262,0.0137090799552185,0.006021507951908185,0.042850802676023134,0.009502122984303817,0.014804471284151077,0.003353979904204607,0.0019355099648237228,0.01953200064599514,0.03816600143909454
876,0.001925576071160676,9.444890846085506e-05,1.229500412940979,0.5717186629772186,0.038299485910741275,0.00882229229731063,0.06380588122448828,0.01505851219127918,0.016879528760910034,0.0026027737185359,0.002169209998100996,0.04062600061297417,0.053929999470710754
877,0.0030717694075294206,0.00010610203590512247,1.5617964267730713,0.3738479018211365,0.05874389526568708,0.00942441690603104,0.08765398662652311,0.019074194450615103,0.01808137074112892,0.0017090775072574615,0.003608010010793805,0.07344900071620941,0.02848000079393387
