cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time
1902380,1902380QC.nc,94,18.677,-42.743,2024-08-14 14:09:00.000001536+00:00,77.94171848160043,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,433.6951129134627,2024-08-13 14:49:46.500000+00:00
1902380,1902380QC.nc,95,18.753,-42.779,2024-08-24 14:04:59.999995392+00:00,75.88972786005633,PACE_OCI_L2_AOP_PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240824T161119.L2.OC_AOP.V3_1.nc,1.0541075350403721,2024-08-24 16:13:49+00:00
1902380,1902380QC.nc,96,18.806,-42.685,2024-09-03 13:38:59.999997952+00:00,69.25333419261494,PACE_OCI_L2_AOP_PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240902T162613.L2.OC_AOP.V3_1.nc,46.40290514068571,2024-09-02 16:28:42.500000+00:00
1902380,1902380QC.nc,98,18.774,-41.93799999999999,2024-09-23 13:41:00.000001024+00:00,65.99109916251179,"PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240923T152047.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.3819517478633276,2024-09-22 14:48:58+00:00
1902380,1902380QC.nc,100,18.611,-41.692999999999984,2024-10-13 15:00:00+00:00,62.46095565991157,PACE_OCI_L2_AOP_PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241013T152228.L2.OC_AOP.V3_1.nc,0.09606559145499671,2024-10-13 15:24:57.500000+00:00
1902380,1902380QC.nc,112,18.11,-42.64499999999998,2025-02-11 07:55:59.999997440+00:00,-20.32327155004884,PACE_OCI_L2_AOP_PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250211T160918.L2.OC_AOP.V3_1.nc,1.5166959003905953,2025-02-11 16:11:47.500000+00:00
1902380,1902380QC.nc,114,17.827,-42.579999999999984,2025-03-03 13:26:00.000004096+00:00,55.961813815007964,PACE_OCI_L2_AOP_PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250302T155622.L2.OC_AOP.V3_1.nc,0.43419999808348814,2025-03-02 15:58:51.500000+00:00
1902380,1902380QC.nc,116,18.235,-42.77600000000001,2025-03-23 16:01:59.999999488+00:00,66.82436048135574,PACE_OCI_L2_AOP_PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250322T161300.L2.OC_AOP.V3_1.nc,1.542884812756236,2025-03-22 16:15:30+00:00
1902380,1902380QC.nc,117,18.466,-43.15899999999999,2025-04-02 18:31:59.999996416+00:00,35.76077933276543,PACE_OCI_L2_AOP_PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250402T160925.L2.OC_AOP.V3_1.nc,9.820967364531912,2025-04-02 16:11:54.500000+00:00
1902380,1902380QC.nc,118,18.66,-43.49400000000003,2025-04-12 20:21:59.999994880+00:00,10.600113345958258,PACE_OCI_L2_AOP_PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250413T160528.L2.OC_AOP.V3_1.nc,0.9877917190110681,2025-04-13 16:07:58+00:00
1902380,1902380QC.nc,121,19.363,-43.94400000000002,2025-05-13 02:34:59.999998976+00:00,-51.986272034652615,PACE_OCI_L2_AOP_PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250512T055605.L2.OC_AOP.V3_1.nc,1000000000.0,2025-05-12 05:57:04+00:00
1902381,1902381QC.nc,81,16.511,-33.52999999999997,2024-04-06 02:15:59.999996416+00:00,-66.89785327948857,PACE_OCI_L2_AOP_PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240406T152502.L2.OC_AOP.V3_1.nc,4.8199200537797235,2024-04-06 15:27:32+00:00
1902381,1902381QC.nc,94,17.077,-34.41699999999997,2024-08-14 01:38:59.999997952+00:00,-56.902567932505065,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,209.4396766772863,2024-08-13 14:49:46.500000+00:00
1902381,1902381QC.nc,98,17.564,-34.41500000000002,2024-09-23 02:25:00.000004608+00:00,-72.26745587104367,"PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240923T152047.L2.OC_AOP.V3_1.nc_3.1",PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.7451019612965069,2024-09-22 14:48:58+00:00
1902382,1902382QC.nc,94,19.015,-30.154,2024-08-12 22:41:00.000001024+00:00,-29.48844580684457,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240813T144717.L2.OC_AOP.V3_1.nc,69.36672671351506,2024-08-13 14:49:46.500000+00:00
1902382,1902382QC.nc,98,19.109,-31.20299999999997,2024-09-21 22:47:59.999995904+00:00,-39.68853425544004,PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240922T144628.L2.OC_AOP.V3_1.nc,0.5135412081364813,2024-09-22 14:48:58+00:00
1902382,1902382QC.nc,113,19.997,-32.218999999999994,2025-02-19 13:55:59.999997440+00:00,58.2716235389318,PACE_OCI_L2_AOP_PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250219T142024.L2.OC_AOP.V3_1.nc,1.837318736293129,2025-02-19 14:22:53.500000+00:00
1902382,1902382QC.nc,114,19.829,-32.09699999999998,2025-03-01 14:14:00.000003584+00:00,62.7820678075293,PACE_OCI_L2_AOP_PACE_OCI.20250301T152050.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250301T152050.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250301T152050.L2.OC_AOP.V3_1.nc,2.9604022461338144,2025-03-01 15:23:19.500000+00:00
1902382,1902382QC.nc,115,19.563,-31.92500000000001,2025-03-11 16:27:00.000000512+00:00,50.76465907295536,PACE_OCI_L2_AOP_PACE_OCI.20250311T144235.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250311T144235.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250311T144235.L2.OC_AOP.V3_1.nc,4.263938390762061,2025-03-11 14:45:04.500000+00:00
1902384,1902384QC.nc,81,20.736,-41.61099999999999,2024-04-07 19:13:00.000000512+00:00,24.8273677307139,PACE_OCI_L2_AOP_PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240407T160005.L2.OC_AOP.V3_1.nc,0.43180675395733364,2024-04-07 16:02:34.500000+00:00
1902384,1902384QC.nc,84,20.254,-41.01799999999997,2024-05-07 23:45:00.000003584+00:00,-32.95444153574336,PACE_OCI_L2_AOP_PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240507T152746.L2.OC_AOP.V3_1.nc,91.27034753209583,2024-05-07 15:30:15.500000+00:00
1902384,1902384QC.nc,91,20.106,-42.43099999999998,2024-07-17 12:06:59.999994880+00:00,50.58087700299982,PACE_OCI_L2_AOP_PACE_OCI.20240716T150240.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240716T150240.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240716T150240.L2.OC_AOP.V3_1.nc,453.7098060457869,2024-07-16 15:05:09.500000+00:00
1902384,1902384QC.nc,92,20.079,-42.58100000000002,2024-07-27 14:23:00.000001536+00:00,81.96247632919413,PACE_OCI_L2_AOP_PACE_OCI.20240726T155344.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240726T155344.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240726T155344.L2.OC_AOP.V3_1.nc,96.08545052932598,2024-07-26 15:56:13.500000+00:00
1902384,1902384QC.nc,93,20.052,-42.759000000000015,2024-08-06 16:18:00.000002560+00:00,70.4102861445775,PACE_OCI_L2_AOP_PACE_OCI.20240807T161507.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240807T161507.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240807T161507.L2.OC_AOP.V3_1.nc,50.77165302320813,2024-08-07 16:17:36.500000+00:00
