wmo,profile,lat,lon,giop_bbp_700,bbp700_first3_mean,rel_dbbp_giop
1902490,6,-29.092,1.0529999999999973,0.0011888518929481,0.000489,0.5886787892582784
1902490,8,-29.715,0.15799999999998704,0.0014255641726776,0.0005393333333333,0.6216702526128415
1902490,14,-30.794,-0.6890000000000214,0.0022911147680133,0.0005033333333333,0.7803107289253097
1902490,26,-31.218,-2.4110000000000014,0.0008153785020112,0.0006003333333333,0.2637366182054996
1902490,33,-32.133,-4.845000000000027,0.0007426659576594,0.000475,0.3604123157913163
1902492,39,-0.263,-1.4159999999999968,4.935829565511085e-05,0.0006403333333333,-1.0
1902493,7,-31.342,-0.41500000000002046,0.0003378329856786,0.000533,-0.5777026595830217
1902493,8,-31.288,-0.6669999999999732,0.0013804539339616,0.0005319999999999,0.6146195197740668
1902493,28,-31.335,-4.7309999999999945,0.0006679692887701,0.0005136666666666,0.23100256957563126
1902493,31,-30.208,-6.670000000000016,0.001316939597018,0.0005316666666666,0.5962862170212859
1902493,33,-29.728,-7.584000000000003,0.0007173881749622,0.0004293333333333,0.40153274291714935
1902493,36,-29.491,-8.586999999999989,0.0009342050761915,0.0004366666666666,0.5325794327228758
1902493,39,-29.392,-8.456999999999994,0.0015024890890344,0.000485,0.677202314785731
1902495,15,-19.583,0.0020000000000095497,0.0027683454100042,0.000759,0.7258290106223239
1902495,21,-19.371,-0.535000000000025,0.0038287357892841,0.000741,0.8064635324082907
1902495,33,-19.209,-1.8940000000000055,0.0018045973265543,0.0004926666666666,0.7269935739031054
1902495,37,-17.228,-1.8410000000000082,0.0011033648625016,0.000597,0.4589278485391914
1902495,41,-19.072,-2.629000000000019,0.0010001164628192,0.0004966666666666,0.503391169797805
1902496,11,-16.112,-2.704999999999984,0.0018629500409588,0.00057,0.6940336630247801
1902496,22,-15.91,-2.062999999999988,0.0016123033128678,0.0008376666666666,0.4804534233843108
1902496,34,-15.422,-1.7819999999999823,0.0015452153747901,0.000566,0.6337080194552913
1902496,36,-15.287,-1.3980000000000246,0.0009207092225551,0.000443,0.5188491771912401
1902496,40,-15.88,-1.002999999999986,0.0006737427902407,0.000524,0.22225512823254573
1902497,5,-12.117,1.5360000000000014,0.0005896998918615,0.0005803333333333,0.015883602248310782
1902497,6,-12.412,1.6529999999999916,0.0013085191603749,0.0005253333333333,0.598528359964719
1902497,41,-11.625,-2.1229999999999905,0.0009519847808405,0.0004689999999999,0.5073450653425116
1902499,17,-3.953,-5.314999999999998,0.0007625189027749,0.001214,-0.5920916787532805
1902500,10,-23.561,-1.0400000000000205,0.0023335157893598,0.0005136666666666,0.7798743556787655
1902500,12,-23.683,-1.3050000000000068,0.0028092444408684,0.000496,0.8234400706523511
1902500,14,-23.828,-1.440999999999974,0.0011590681970119,0.0005233333333333,0.5484878847660013
1902500,33,-21.431,-2.180999999999983,0.0008200170123018,0.000485,0.4085488560309282
1902500,35,-20.931,-2.4499999999999886,0.0015237390762194,0.000642,0.5786680213039573
1902500,36,-20.996,-2.019999999999982,0.0008589702192693,0.0006059999999999,0.2945040626491034
1902500,37,-21.117,-1.3410000000000082,0.0008112807990983,0.000687,0.1531908548019775
1902500,39,-20.964,0.2050000000000125,0.0011167611228302,0.0006516666666666,0.41646727008629586
1902500,41,-21.325,1.1999999999999886,0.000777845736593,0.0006063333333333,0.2204966810140687
1902501,29,-5.771,-91.09300000000002,0.0015691387234255,0.0012696666666666,0.19085123086194639
1902644,16,-19.268,-73.40699999999998,0.0039245202206075,0.0016909999999999,0.5691193050502005
1902644,17,-19.081,-73.20800000000003,0.0024018057156354,0.0008493333333333,0.6463771703913161
1902644,19,-18.961,-72.86900000000003,0.0022484569344669,0.0009623333333333,0.5720027728432053
1902644,23,-19.506,-72.04000000000002,0.0019474684959277,0.0007826666666666,0.5981107430989443
1902644,32,-18.245,-71.714,0.0016540439100936,0.001365,0.17474984087770898
1902644,34,-18.38,-72.094,0.0024780221283435,0.002979,-0.20216844148659466
1902644,36,-19.089,-72.827,0.0021022043656557,0.001,0.524308855819501
1902644,38,-19.443,-72.40100000000001,0.0011255497811362,0.000944,0.16129875744183644
1902644,40,-19.264,-71.697,0.0013248372124508,0.001548,-0.16844544027894104
1902652,0,12.467,-111.892,0.0004980806843377,0.0007959999999999,-0.5981346497271712
1902652,1,11.773,-111.519,0.0007634903304278,0.0006103333333333,0.20060109603311269
1902652,3,11.763,-111.891,0.0014513313071802,0.0005613333333333,0.6132286745581766
1902722,0,-22.123,-34.65499999999997,0.0008946363814175,0.000562,0.37181182022852316
1902722,2,-22.209,-34.47500000000002,0.0009223781526088,0.0005676666666666,0.3845618903038357
1902742,1,28.721,-74.447,0.001062334747985,0.000922,0.13210030854321778
1902742,2,28.784,-74.40499999999997,0.0011294751893728,0.000853,0.244781994305096
