# Gordon coefficients fitted from Loisel23 Hydrolight simulations
# Source: Loisel et al. (2023) synthetic dataset
# Standard G1: 0.0949
# Standard G2: 0.0794
#
wavelength,G1,G2,G1_err,G2_err,rRMS,RMS
555.0,0.09955476709875205,-0.15124832469772198,0.0001249457586604714,0.0032081933542647107,0.031741847419214035,7.942947981221009e-05
560.0,0.09871260974078562,-0.14082508565020949,0.00012151235699644864,0.003163313329368163,0.03305859954363238,7.766760206236428e-05
565.0,0.0979659228495801,-0.13251186065574397,0.0001188449150707789,0.0031412533316142223,0.034335278680584974,7.584236996396076e-05
570.0,0.09725173681380334,-0.1330333789111598,0.00011585400892794259,0.0032011463488896743,0.035883903965677796,7.162230082456412e-05
575.0,0.0966899462812946,-0.1442119365487839,0.00011277974134394236,0.003337275431501321,0.03730038051346542,6.552082444496948e-05
580.0,0.09616230105265017,-0.16765980260960564,0.00010957976078822916,0.0035922694053766016,0.038877558561074464,5.7576072240755775e-05
585.0,0.09560169016940342,-0.20736145723449914,0.00010644503258627756,0.004034071726856608,0.04077476125576468,4.8200456266667175e-05
590.0,0.09499907308480306,-0.2507247225558169,0.00010401949691058235,0.004562946786270583,0.04275268309493825,4.029211354462676e-05
595.0,0.09433668619576345,-0.2984129637813164,0.00010214112270152763,0.005207685898442108,0.04494138863604244,3.350403670139241e-05
600.0,0.09362016559228643,-0.3793026590273723,0.00010056178947900234,0.006334068474884617,0.04754166517946735,2.6109124802253273e-05
605.0,0.0930827290289497,-0.4217660896553631,9.953902564461804e-05,0.007006578239280196,0.049160732871033425,2.2726002356835744e-05
610.0,0.09273536258735267,-0.42366929338412535,9.872941063786029e-05,0.007109846912587736,0.04983187340160676,2.1825330709664825e-05
615.0,0.09241584289959488,-0.4211817008307178,9.788688313895364e-05,0.0071438612301719445,0.050365335766229265,2.116973156872604e-05
620.0,0.092096646505092,-0.425845390866815,9.703524534399015e-05,0.007272947221903859,0.05095031972027373,2.0245279840330518e-05
625.0,0.09176489219915675,-0.42827210513205505,9.618696055531707e-05,0.007385611342281158,0.05158381469593472,1.939216642733762e-05
630.0,0.09144334389295922,-0.43117102555198034,9.539045549598978e-05,0.007512624199536972,0.052216330054387736,1.8570550036058146e-05
635.0,0.09112727923437759,-0.4359016403726337,9.453640819317421e-05,0.007659784478889728,0.052820875567823174,1.7711183351246512e-05
640.0,0.09079982734287971,-0.43768272635181155,9.369214055750946e-05,0.007782978798474719,0.05348622204546211,1.693360180208803e-05
645.0,0.09045640357492071,-0.44346022561276377,9.284119054327967e-05,0.007979825175783514,0.05426048101544481,1.6017328903670503e-05
650.0,0.0901258257709946,-0.4500637932112568,9.202552965544164e-05,0.00819393643093188,0.05502037044710982,1.5139269778479096e-05
655.0,0.08986093745738787,-0.48894766651389837,9.108948465922449e-05,0.00880517938165519,0.05559678975637859,1.3658004238973092e-05
660.0,0.089780536128097,-0.5670664011123948,9.006444681729888e-05,0.009809229281012091,0.05547147077044361,1.1966512981311048e-05
665.0,0.08987332685224036,-0.6447696215071557,8.914124453673642e-05,0.010645808587716526,0.0546640259240559,1.088968161469038e-05
670.0,0.08996543818885173,-0.711622400339263,8.829883027096029e-05,0.011315607388265213,0.05388236942462396,1.0132881369959465e-05
675.0,0.0898018652205986,-0.7309080414628033,8.748791508572284e-05,0.011587148480087859,0.05395196669287694,9.674823062303323e-06
680.0,0.0893014289482027,-0.6977305358752782,8.663139683173311e-05,0.011487410164940311,0.05516022693629024,9.368397116686237e-06
685.0,0.0885796433859068,-0.6246402814906605,8.56121358165373e-05,0.01101413467838752,0.0571952409502975,9.19477465437762e-06
690.0,0.08778822045402647,-0.5461479181356809,8.473084656842992e-05,0.010576947926778069,0.05990710498932823,8.976932594735437e-06
695.0,0.08715773890746419,-0.5058649260585559,8.374170272639385e-05,0.010540758853832724,0.06218338721507636,8.47248274094328e-06
700.0,0.08673443261781084,-0.518508867284818,8.264163964625037e-05,0.011117766838317665,0.06357951803136193,7.6122944079661746e-06
705.0,0.0864480424084265,-0.5650929233761133,8.152346479096056e-05,0.012102748618142516,0.06427570119967457,6.6782827492583316e-06
710.0,0.08620482418056186,-0.6544414488832606,8.03958710750339e-05,0.013796870830628912,0.064769679470579,5.606825238749838e-06
715.0,0.08597146219230074,-0.7879480820567453,7.930495923705867e-05,0.01631327140645905,0.06525512472576246,4.540554629671359e-06
720.0,0.08576729653045757,-0.9579956496103635,7.824598192896833e-05,0.0194930355572428,0.06554032990879811,3.6520933534877695e-06
725.0,0.08557343951613577,-1.1490687961789747,7.723087329647279e-05,0.023112143505071323,0.06575975421004572,2.9661033459210696e-06
730.0,0.0853802192979244,-1.5120378384645234,7.619682542856725e-05,0.029917065431392505,0.06596691652686437,2.2032881284261315e-06
735.0,0.08519863810302014,-1.9063277478640634,7.525130158266423e-05,0.03745262480054091,0.06614557362810528,1.6983421893622732e-06
740.0,0.08503206663116218,-2.079425407068521,7.430244276789374e-05,0.0409225097050514,0.06615420005285212,1.5028649868746393e-06
