# Gordon coefficients (with bbp slope) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G1·u + G2·u² + Gb·bbp)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G1,G2,Gb,G1_err,G2_err,Gb_err,rRMS,RMS
640.0,0.1133713526940733,0.4729456563830041,-0.1227132300071452,6.163441121215401e-05,0.006714375917478825,0.00042649153878143877,0.007195333131234539,9.038744938190297e-06
645.0,0.11349055983965255,0.4715796920508203,-0.11744175211402615,5.8732710145653775e-05,0.006453677500999527,0.00038026013363622887,0.006697374243393964,7.956019878992849e-06
650.0,0.11358899295372782,0.47025005041300405,-0.11226299224886148,5.6307726981716486e-05,0.006263099891144973,0.00034145580240377884,0.006302766048285324,7.036164693825108e-06
655.0,0.11365239961721926,0.4798263129449628,-0.10267420290000866,5.58109872132799e-05,0.0065926718250729965,0.0003046638965868787,0.006187174414448986,6.246077499023078e-06
660.0,0.11350552268732281,0.4999999995334983,-0.09189683714394364,6.095062697124194e-05,0.008021984191994819,0.00029869338971982336,0.00681960881809749,6.103524213869778e-06
665.0,0.11300279570904176,0.4999999968669942,-0.08546371635045681,7.377509343171442e-05,0.010709483837166552,0.00034673091841211855,0.008500150618450702,6.9189321399988e-06
670.0,0.11248648989575262,0.4999999999988723,-0.08128539514484068,8.799287706142555e-05,0.01382511683049215,0.0004056787437153697,0.01045784396191684,7.728497052707092e-06
675.0,0.11237233030250605,0.4999999227212854,-0.07907063922117784,9.138156698454076e-05,0.01467696536169745,0.0004087097680723078,0.010741911358039306,7.688866368340916e-06
680.0,0.1127992530840603,0.4999999999993456,-0.07758915747401014,8.085261204942807e-05,0.012516336505913012,0.0003385851997220563,0.009021182486663806,6.5743504168237216e-06
685.0,0.11358067964891869,0.4999999999272607,-0.07682058454864454,6.105963573199053e-05,0.008706283446803981,0.0002350506559895353,0.006379741399845072,4.586660599198104e-06
690.0,0.1140099698316219,0.441257147495648,-0.07328333860127591,4.5666638240129935e-05,0.006095125010824901,0.00015935086398187752,0.0045866318645919,2.673903758583555e-06
