# Gordon coefficients (with constant) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G0 + G1·u + G2·u²)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G0,G1,G2,G0_err,G1_err,G2_err,rRMS,RMS
595.0,0.0001410242396007104,0.07481737055480649,0.18294909239495827,2.427974912656299e-07,4.44889810896736e-05,0.0017751544585119185,0.0030951279315785487,3.5343597508710424e-06
600.0,0.00010125106311431641,0.07549356253718845,0.1774484293384815,1.5802777191314274e-07,3.838891158922479e-05,0.0019985501987085444,0.002904567873179482,2.462308750351247e-06
605.0,8.402252527261851e-05,0.0757791627076519,0.1758823678514159,1.27399848954697e-07,3.6182212686160086e-05,0.0021807595628748526,0.0028775239468896608,2.074967944953965e-06
610.0,7.905308039725412e-05,0.07585834625916467,0.1756163716655655,1.1958237359223881e-07,3.548254981139691e-05,0.002224595155781806,0.002893807450772474,1.999079570162688e-06
615.0,7.539679511403084e-05,0.07591500214546495,0.17542862558165115,1.1420128785027716e-07,3.49716343425971e-05,0.0022543713236020183,0.002916103859697769,1.9508476473217346e-06
620.0,7.079888816905804e-05,0.07598629918066582,0.1752208905740709,1.0745193900708154e-07,3.446650672547622e-05,0.002317650924143542,0.0029416718871385864,1.881554020398124e-06
625.0,6.651141218720573e-05,0.07605266566553036,0.17516136771919408,1.0108066911661064e-07,3.393116248008477e-05,0.0023770580573971157,0.0029663678864427566,1.8151397267977919e-06
630.0,6.248399843715856e-05,0.07611556181688296,0.17508442395569893,9.524224159172664e-08,3.347852840918985e-05,0.0024454766547301193,0.002994421068100106,1.7527257983012483e-06
635.0,5.849235236685846e-05,0.07617758218927495,0.17503812993236004,8.954071925009592e-08,3.306718871186509e-05,0.0025265737003862263,0.0030256328432092935,1.6893998274915844e-06
640.0,5.4827396059469857e-05,0.07623560835715126,0.17514209384502516,8.422226115771988e-08,3.262147306403427e-05,0.0026019441844551973,0.003056392369671334,1.631866311780352e-06
645.0,5.071823845588044e-05,0.07630088350630894,0.17537830728014028,7.823655071963513e-08,3.217448090282222e-05,0.0027103164582986295,0.003091606279880447,1.5601612004332472e-06
