bbp_440,sig_bbp_440,aph_440,sig_aph_440,adg_440,sig_adg_440,Sdg,sig_Sdg,beta,sig_beta
0.001408900881594,0.0002444107491142,0.0005605843907687,0.0025255690902849,0.0194969362088156,0.0036704303433542,0.011913914,0.002350376471877,1.0692949,0.5992820519208907
0.000783249648041,0.0001623044890818,0.0005682681803591,0.0031090894144654,0.0272365209840958,0.004230362227197,0.013286214,0.0023441328667104,1.2112186,0.6353006309270859
0.0005046601363468,0.0001078363815952,0.0002019261009991,0.0013173230226038,0.0143000362187649,0.0017863870574663,0.013044601,0.0022271946072578,1.1651268,0.6475242227315903
0.0006177495689451,0.0001023216619194,0.0073755152989178,0.0015663949772715,0.0065183467624346,0.0013495680059262,0.015834358,0.0030472439154982,1.2384168,0.6164964568614959
0.0018391533128206,0.0003236771979383,0.0051905519794672,0.0049068039347184,0.021571876364527,0.0060219446113108,0.012816882,0.0031749834865331,1.1229494,0.5810346305370331
0.0012416296723364,0.0001654617364741,0.0032965142745524,0.0013940143981017,0.0065383495227464,0.0014551128121055,0.01407153,0.0034681935794651,1.003542,0.5667899572849269
0.001218043237653,0.0002833863749691,0.0340406373143196,0.0217190431430935,0.0385270279213955,0.0216995429453039,0.012357386,0.0029903885535895,0.86143297,0.6603875160217285
0.0012223506452091,0.0002256956679184,0.0036049326881766,0.0048816080176038,0.0231847081023276,0.0057201763026765,0.01217718,0.002990785986185,1.1950407,0.6200860834121704
0.0009850572694822,0.0001755709514508,0.0054409066215157,0.0040638796868734,0.0161245765544934,0.0041198904155152,0.012669347,0.0031839392147958,0.90663177,0.6320796877145767
0.0012222475837401,0.0002130538582936,0.0005264794453978,0.0024397874197893,0.0193862729410847,0.0033442691050697,0.011505515,0.0020057065412402,1.0435232,0.626181349158287
0.0009007364738353,0.0001454907093644,0.008396697230637,0.003227402921766,0.0133989922663811,0.0032542387164186,0.01502369,0.0033472912199795,1.4037555,0.5528311645984649
0.00092022668392,0.0001222368895078,0.0030538137070834,0.0016562413983047,0.0082136656589323,0.0016114996909036,0.012367833,0.0027947891503572,0.5904243,0.5247146040201186
0.0011555734633896,0.0001738433545741,0.0046354122459888,0.0022712615178897,0.0116160891372591,0.0023733302426841,0.011791572,0.0025574162043631,0.66958606,0.5624604743719102
0.0007528954659296,0.0001377448820665,0.0106510464102029,0.0033188577555119,0.0129610280223294,0.0032034504746062,0.014556459,0.0033302901498973,0.9486289,0.6478174537420273
0.0008277805930119,0.0001237502147917,0.0073750456795096,0.0014126940444111,0.0054696152901354,0.0012427997591636,0.014934473,0.0033749183639883,0.84153837,0.61137027323246
0.0013424314421556,0.0002076615641122,0.0074262651614844,0.0031108440598472,0.012836475925304,0.0034621087740913,0.015204773,0.0035724764503538,0.7068226,0.5522396081686018
0.001825611094447,0.0001684895607609,0.0074866060167551,0.0024986755196005,0.0137571530748985,0.0026215356443039,0.016629923,0.0026640626788139,1.6686069,0.325076892375946
0.0067409790181792,0.0012393454988186,0.0216891579329967,0.0209044788673054,0.1095338687925035,0.0360807904856841,0.015271899,0.0014170166105031,1.3888301,0.5106615722179413
0.0007084306657388,0.0001035339746797,4.181222902843729e-05,0.0003058264545643,0.0187258120376516,0.0012521973743731,0.011899779,0.0012803439050912,0.4007351,0.4283228757977485
0.0010349026764102,0.0001513985609526,0.0017163412412628,0.0016825877720839,0.0086428866708829,0.0015328361360049,0.011660585,0.0025208336301147,0.9072475,0.6165758967399597
0.0004339238024346,7.884701681855582e-05,0.0058823314029723,0.0017577641736716,0.0074735342827251,0.001587659181691,0.012537742,0.0030100037157535,0.63257194,0.6024898985028266
0.0006152236282712,9.133531666432748e-05,0.004315412370488,0.00107659609057,0.0044211601014862,0.0009401913942562,0.013594352,0.0032938853837549,0.72688735,0.6188152977824211
0.0018868468588921,0.0001561851459733,0.007002136670053,0.001345749348402,0.0064026254941647,0.0013053059455739,0.015728552,0.0030345342494547,1.6490456,0.3275869846343994
0.0009781799140564,0.0001372315035867,0.0091079133562743,0.0016009777411818,0.0061315476416815,0.0013656178240461,0.015290656,0.0032385087758302,1.3709377,0.5493845546245574
0.001271025125468,0.0001868785599661,0.0019478426547721,0.0024745632710983,0.0134418128251974,0.002664354001872,0.011640745,0.0025819791480898,0.67001116,0.547320685386657
0.0012932275123534,0.0002334171073176,0.0071048024110496,0.0051665325229987,0.0187260509517098,0.0055418176725899,0.013893329,0.0033940006978809,0.82148224,0.6149918735027313
0.0010743958841473,0.0001612475856721,0.0053191075567156,0.0030535931582562,0.011819176315193,0.0031977939394645,0.014678022,0.003598090223968,1.3367329,0.5636559724807739
0.0005941962793365,0.000119427953481,7.913477747933939e-05,0.0006946774058178,0.0184310076421241,0.0015829296900532,0.012373689,0.0015875486098229,0.8054439,0.6487976005673407
0.003770917466726,0.0009654417701219,0.0279232375323772,0.0346523095213342,0.1005788956466457,0.0470298951367869,0.011782326,0.001390318647027,0.99526715,0.6518966907262802
